"Timestamp","Confidentiality and Privacy: We highly value your privacy. All responses you provide will be treated with strict confidentiality and anonymity. The results will only be examined in an aggregated manner. Your personal details will not be disclosed to any third parties, and the gathered data will solely be utilized for research purposes.
Voluntary Participation: Your involvement in this study is entirely optional, and you retain the right to withdraw at any point while the questionnaire is accessible for completion. However, we will appreciate if you take some time to fill it up.
Contact Information: If you have any questions or concerns regarding the study, please don't hesitate to reach out to us at mir.hossain01@northsouth.edu.
By selecting the ""I Agree"" checkbox below, you signify your voluntary consent to participate in this research study.","What is your age?","What is your Gender?","What is your Occupation?","How many hours per day, on average, do you spend on digital devices (smartphones, computers, tablets)?","Which digital device do you use most frequently? ","How often do you check your smartphone within an hour of waking up?","How often do you check your smartphone within an hour of going to bed?","Do you use technology for work or academic purposes?","How often do you use social media platforms?","How many hours per day do you typically spend watching TV or streaming services?","Do you use technology as a means of relaxation or entertainment?","What type of content do you most frequently consume online?","What emotions do you associate with your use of technology?","On a scale from 1 to 5, how would you rate your overall mental well-being currently? ","Over the past two weeks, how often have you experienced symptoms such as sadness, hopelessness, or a lack of interest or pleasure in activities?","How often do you find it difficult to concentrate or make decisions?","How would you describe the quality of your sleep over the past month?","Have you experienced changes in your appetite or weight (loss or gain) recently?","How often do you experience physical symptoms such as headaches, stomachaches, or other unexplained pains?","How would you rate your energy levels and motivation on an average day?","Do you engage in activities that you used to enjoy, or have you lost interest in them?","How often do you feel overwhelmed by stress?","Do you feel a sense of isolation or disconnection from others?","Do you have a support system or someone you feel comfortable talking to about your mental health?","How often do you engage in activities or practices that promote mental well-being (e.g., exercise, meditation, hobbies)?","Have you ever intentionally taken a break from using digital devices for a designated period (digital detox)?","If yes, how long was your longest digital detox?","What encouraged you to take a digital detox? ","How did you feel during your digital detox?","Did you set specific goals or rules for your digital detox? (e.g., no social media, no screens after a certain hour)","Would you consider making digital detox a regular practice in your life?","How did your digital detox experience impact your subsequent use of technology?","What is the biggest challenge that you faced during your digital detox, if any? ","How do you manage stress related to technology?","On a scale from 1 to 5, how effective do you find these strategies in managing stress related to technology? "," How often do you engage in physical activities (e.g., exercise, yoga) as a self-care practice to manage stress?","Are there any particular outdoor activities you find helpful in reducing stress related to technology? (e.g., walking, hiking, gardening)","What are your coping strategies for technology-related stress?"
"2023/10/27 5:18:23 PM GMT+6","I Agree","25","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","1","Almost all the time","Frequently","Very Poor","Loss of appetite","Occasionally","Low","Have lost interest","Frequently","Yes","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Talk to friends or family about technology-related stress","3","Rarely","Yes","I seek support from friends or family"
"2023/10/27 5:28:27 PM GMT+6","I Agree","15","Female","Student","5-6 hours","Smartphone","Often","Often","Yes","Multiple times a day","3-4 hours","No","Entertainment (videos, movies, music)","Joy","2","Frequently","Frequently","Fair","Weight loss","Almost all the time","Low","Still enjoy activities","Frequently","No","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Rarely","No","I seek support from friends or family"
"2023/10/27 6:06:57 PM GMT+6","I Agree","25","Female","Homemaker","More than 6 hours","Smartphone","Often","Often","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Joy","3","Almost all the time","Frequently","Poor","Loss of appetite","Frequently","Very low","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","1-3 days","Noticing negative effects on mental health","Anxious or stressed","No","Yes","Used technology more mindfully","Boredom","Engage in outdoor activities","4","Rarely","Yes","I seek support from friends or family"
"2023/10/27 6:30:17 PM GMT+6","I Agree","26","Female","Employed (full-time)","More than 6 hours","Computer/Laptop","Always","Always","Yes","Several times a week","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","5","Occasionally","Occasionally","Fair","Weight gain","Rarely","Low","Have lost interest","Rarely","Yes","Yes","Occasionally","No","1-3 days","Feeling overwhelmed or stressed","Relaxed and refreshed","No","No","No change","FOMO (Fear of Missing Out)","Set specific time limits for technology use","2","Occasionally","No","I seek support from friends or family"
"2023/10/27 8:02:43 PM GMT+6","I Agree","23","Female","Student","More than 6 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","1","Almost all the time","Almost all the time","Very Poor","Weight loss","Frequently","Moderate","Have lost interest","Frequently","Yes","No","Rarely","Yes","Less than a day","Feeling overwhelmed or stressed","No significant change","No","Yes","No change","Boredom","Take short breaks from screens","2","Occasionally","No","I prefer to cope alone"
"2023/10/27 8:11:40 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Excitement","3","Occasionally","Rarely","Good","Weight gain","Occasionally","High","Still enjoy activities","Occasionally","Yes","No","Occasionally","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","No","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Occasionally","Yes","I seek support from friends or family"
"2023/10/27 8:48:29 PM GMT+6","I Agree","23","Female","Student","More than 6 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","All types mentioned above","Joy","4","Not at all","Occasionally","Fair","Weight gain","Frequently","Low","Have lost interest","Rarely","No","Yes","Occasionally","Yes","1-3 days","Feeling overwhelmed or stressed","No significant change","Yes","No","Used technology more mindfully","Difficulty staying disconnected","Unplug from technology for a designated period","3","Rarely","Yes","I seek support from friends or family"
"2023/10/27 9:58:06 PM GMT+6","I Agree","25","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Excitement","1","Almost all the time","Almost all the time","Very Poor","Increased appetite","Frequently","Very low","Have lost interest","Almost all the time","Yes","No","Rarely","Yes","Less than a day","Improving productivity","Anxious or stressed","Yes","Yes","Used technology more mindfully","Boredom","Engage in outdoor activities","5","Occasionally","Yes","I attend social events or gatherings"
"2023/10/27 10:10:32 PM GMT+6","I Agree","27","Female","Homemaker","3-4 hours","Smartphone","Often","Rarely","No","Rarely or never","Less than 1 hour","Yes","News and information","Relaxation","3","Not at all","Almost all the time","Fair","No changes","Frequently","Moderate","Still enjoy activities","Frequently","No","Yes","Occasionally","Yes","Less than a day","Noticing negative effects on mental health","Anxious or stressed","Yes","No","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Never","No","I participate in online communities or forums"
"2023/10/27 10:20:32 PM GMT+6","I Agree","24","Male","Employed (full-time)","3-4 hours","Smartphone","Often","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","4","Frequently","Frequently","Fair","No changes","Rarely","Moderate","Still enjoy activities","Rarely","No","Yes","Rarely","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","No","Used technology less","FOMO (Fear of Missing Out)","Engage in outdoor activities","5","Rarely","Yes","I seek support from friends or family"
"2023/10/27 11:10:24 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Computer/Laptop","Often","Often","Yes","Multiple times a day","1-2 hours","Yes","News and information","Relaxation","4","Occasionally","Rarely","Poor","Weight gain","Frequently","Low","Have lost interest","Occasionally","Yes","Yes","Rarely","Yes","1-3 days","Focusing on in-person relationships","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Work life issues. Apart from that, all good.","Engage in outdoor activities","3","Rarely","Yes","I attend social events or gatherings"
"2023/10/27 11:16:53 PM GMT+6","I Agree","21","Male","Student","More than 6 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","2","Frequently","Occasionally","Excellent","No changes","Occasionally","Very High","Still enjoy activities","Occasionally","No","Yes","Almost daily","Yes","1-3 days","Focusing on in-person relationships","Relaxed and refreshed","Yes","No","No change","Boredom","Take short breaks from screens","3","Frequently","Yes","I seek support from friends or family"
"2023/10/27 11:19:17 PM GMT+6","I Agree","22","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Joy","2","Frequently","Frequently","Fair","Weight gain","Occasionally","Low","Have lost interest","Almost all the time","No","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Set specific time limits for technology use","2","Occasionally","Yes","I seek support from friends or family"
"2023/10/27 11:19:28 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Social media updates","Joy","4","Frequently","Frequently","Good","No changes","Frequently","Moderate","Still enjoy activities","Frequently","Yes","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","4","Rarely","Yes","I prefer to cope alone"
"2023/10/27 11:23:48 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","More than 6 hours","Yes","Entertainment (videos, movies, music)","Relaxation","5","Almost all the time","Almost all the time","Very Poor","Weight loss","Almost all the time","Very High","Have lost interest","Almost all the time","Yes","Yes","Almost daily","Yes","More than a week","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","I have never practiced digital detox","FOMO (Fear of Missing Out)","Engage in outdoor activities","1","Occasionally","Yes","I prefer to cope alone"
"2023/10/27 11:30:44 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Smartphone","Occasionally","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","5","Occasionally","Almost all the time","Fair","Weight loss","Occasionally","Moderate","Have lost interest","Almost all the time","Yes","No","Almost daily","Yes","4-7 days","To find peace ","Not sure had a mix experience","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Always","Yes","I prefer to cope alone"
"2023/10/27 11:52:28 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Work-related content","Joy","4","Occasionally","Occasionally","Fair","No changes","Occasionally","High","Still enjoy activities","Almost all the time","Yes","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Never","Yes","I attend social events or gatherings"
"2023/10/28 12:02:14 AM GMT+6","I Agree","25","Female","Employed (full-time)","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Joy","3","Occasionally","Frequently","Excellent","No changes","Rarely","High","Still enjoy activities","Frequently","No","Yes","Almost daily","Yes","More than a week","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology less","Social pressure to stay connected","Engage in outdoor activities","2","Always","Yes","I seek support from friends or family"
"2023/10/28 12:11:02 AM GMT+6","I Agree","25","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Frequently","Almost all the time","Fair","Increased appetite","Rarely","Moderate","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","More than a week","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","None, it was easy and enjoyable","Engage in outdoor activities","4","Frequently","Yes","I prefer to cope alone"
"2023/10/28 12:33:07 AM GMT+6","I Agree","24","Male","Student","More than 6 hours","Smartphone","Occasionally","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Not at all","Never","Excellent","No changes","Never","Very High","Still enjoy activities","Rarely","No","Yes","Almost daily","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","3","Frequently","Yes","I prefer to cope alone"
"2023/10/28 12:52:30 AM GMT+6","I Agree","19","Female","Student","1-2 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","5","Not at all","Rarely","Good","No changes","Rarely","Moderate","Still enjoy activities","Rarely","No","Yes","Almost daily","Yes","4-7 days","Curiosity or personal experiment","No significant change","Yes","Yes","Used technology more mindfully","Boredom","Take short breaks from screens","5","Always","Yes","I attend social events or gatherings"
"2023/10/28 1:53:08 AM GMT+6","I Agree","19","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Educational content","Relaxation","4","Occasionally","Occasionally","Good","Weight gain","Occasionally","Moderate","Still enjoy activities","Rarely","No","Yes","Rarely","Yes","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Rarely","Yes","I seek support from friends or family"
"2023/10/28 1:59:07 AM GMT+6","I Agree","15","Male","Student","5-6 hours","Smartphone","Often","Always","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Frequently","Good","Weight loss","Occasionally","High","Still enjoy activities","Frequently","No","Yes","Almost daily","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","3","Always","Yes","I prefer to cope alone"
"2023/10/28 2:49:20 AM GMT+6","I Agree","22","Female","Student","More than 6 hours","Smartphone","Always","Always","No","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","4","Not at all","Occasionally","Poor","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","1-3 days","Improving productivity","No significant change","Yes","Yes","No change","Boredom","Unplug from technology for a designated period","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/28 3:49:22 AM GMT+6","I Agree","25","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Rarely","Fair","Weight gain","Occasionally","Moderate","Still enjoy activities","Occasionally","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Frequently","No","I prefer to cope alone"
"2023/10/28 9:35:21 AM GMT+6","I Agree","24","Female","Employed (part-time)","3-4 hours","Smartphone","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Occasionally","Fair","No changes","Rarely","Low","Have lost interest","Occasionally","Yes","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Never","No","I prefer to cope alone"
"2023/10/28 10:53:01 AM GMT+6","I Agree","24","Female","Student","More than 6 hours","Computer/Laptop","Occasionally","Occasionally","Yes","Multiple times a day","Less than 1 hour","Yes","Educational content","Excitement","1","Almost all the time","Frequently","Poor","Loss of appetite","Occasionally","Low","Have lost interest","Frequently","Yes","No","Rarely","Yes","4-7 days","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","Used technology less","Social pressure to stay connected","Take short breaks from screens","4","Rarely","Yes","I prefer to cope alone"
"2023/10/28 11:07:01 AM GMT+6","I Agree","23","Female","Unemployed","More than 6 hours","Smartphone","Often","Always","Yes","Multiple times a day","More than 6 hours","Yes","Educational content","Anxiety","1","Almost all the time","Almost all the time","Poor","Loss of appetite","Frequently","Very low","Have lost interest","Almost all the time","Yes","No","Rarely","No","Less than a day","Feeling overwhelmed or stressed","Anxious or stressed","No","No","No change","I have never practiced digital detox","Take short breaks from screens","1","Rarely","No","I participate in online communities or forums"
"2023/10/28 11:32:29 AM GMT+6","I Agree","23","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Occasionally","Poor","Increased appetite","Rarely","Moderate","Have lost interest","Occasionally","Yes","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Never","No","I prefer to cope alone"
"2023/10/28 4:05:21 PM GMT+6","I Agree","22","Female","Student","More than 6 hours","Smartphone","Often","Often","Yes","Multiple times a day","1-2 hours","Yes","Social media updates","Excitement","3","Occasionally","Occasionally","Fair","Loss of appetite","Occasionally","Low","Still enjoy activities","Frequently","Yes","Yes","Occasionally","Yes","Less than a day","Focusing on in-person relationships","No significant change","Yes","No","No change","Difficulty staying disconnected","Take short breaks from screens","3","Rarely","No","I seek support from friends or family"
"2023/10/29 7:03:29 AM GMT+6","I Agree","22","Female","Employed (full-time)","More than 6 hours","Computer/Laptop","Occasionally","Always","Yes","Several times a week","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","4","Frequently","Occasionally","Fair","Weight gain","Frequently","Moderate","Still enjoy activities","Frequently","Yes","Yes","Occasionally","Yes","Less than a day","Noticing negative effects on mental health","Anxious or stressed","Yes","Yes","Used technology more mindfully","Difficulty staying disconnected","Engage in outdoor activities","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/29 1:53:18 PM GMT+6","I Agree","26.5","Female","Employed (full-time)","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Almost all the time","Occasionally","Very Poor","No changes","Frequently","Low","Still enjoy activities","Frequently","Yes","Yes","Rarely","Yes","More than a week","Feeling overwhelmed or stressed","Anxious or stressed","No","No","Used technology less","Difficulty staying disconnected","Take short breaks from screens","3","Never","No","I prefer to cope alone"
"2023/11/01 7:21:19 PM GMT+6","I Agree","16","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Frequently","Poor","Increased appetite","Occasionally","Very low","Have lost interest","Almost all the time","Yes","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Talk to friends or family about technology-related stress","4","Occasionally","Yes","I seek support from friends or family"
"2023/11/01 7:31:54 PM GMT+6","I Agree","22","Male","Student","3-4 hours","Smartphone","Occasionally","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Not at all","Rarely","Good","No changes","Frequently","Moderate","Still enjoy activities","Rarely","No","No","Occasionally","Yes","Less than a day","Noticing negative effects on mental health","Relaxed and refreshed","No","No","No change","None, it was easy and enjoyable","Engage in outdoor activities","3","Rarely","Yes","I seek support from friends or family"
"2023/11/01 7:39:06 PM GMT+6","I Agree","25","Male","Employed (part-time)","3-4 hours","Smartphone","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Frequently","Occasionally","Good","Weight gain","Rarely","High","Still enjoy activities","Rarely","Yes","Yes","Occasionally","Yes","1-3 days","Noticing negative effects on mental health","Anxious or stressed","Yes","No","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Rarely","Yes","I seek support from friends or family"
"2023/11/01 7:39:50 PM GMT+6","I Agree","23","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Anxiety","3","Occasionally","Frequently","Poor","No changes","Rarely","Moderate","Still enjoy activities","Frequently","No","Yes","Occasionally","Yes","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Rarely","Yes","I prefer to cope alone"
"2023/11/01 7:47:27 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Smartphone","Often","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Frequently","Frequently","Fair","Loss of appetite","Rarely","Moderate","Still enjoy activities","Almost all the time","Yes","Yes","Rarely","No","Less than a day","Improving productivity","No significant change","No","Yes","No change","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Rarely","Yes","I prefer to cope alone"
"2023/11/01 7:49:04 PM GMT+6","I Agree","23","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","4","Occasionally","Occasionally","Poor","No changes","Occasionally","Moderate","Have lost interest","Occasionally","Yes","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","3","Rarely","Yes","I seek support from friends or family"
"2023/11/01 7:50:37 PM GMT+6","I Agree","24","Others","Student","5-6 hours","Smartphone","Often","Always","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Almost all the time","Good","Increased appetite","Occasionally","Moderate","Have lost interest","Frequently","Yes","No","Rarely","No","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","No","No","Used technology more mindfully","FOMO (Fear of Missing Out)","Engage in outdoor activities","3","Rarely","Yes","I prefer to cope alone"
"2023/11/01 7:51:09 PM GMT+6","I Agree","25","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Frequently","Fair","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","Yes","Yes","Occasionally","Yes","1-3 days","Improving productivity","Anxious or stressed","Yes","Yes","No change","Boredom","Talk to friends or family about technology-related stress","3","Occasionally","Yes","I participate in online communities or forums"
"2023/11/01 8:18:13 PM GMT+6","I Agree","23","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","3","Frequently","Almost all the time","Fair","Increased appetite","Occasionally","Low","Still enjoy activities","Frequently","No","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Talk to friends or family about technology-related stress","2","Rarely","Yes","I seek support from friends or family"
"2023/11/01 8:20:51 PM GMT+6","I Agree","23","Female","Student","3-4 hours","Smartphone","Always","Often","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Anxiety","2","Frequently","Frequently","Poor","Loss of appetite","Almost all the time","Moderate","Still enjoy activities","Frequently","No","Yes","Occasionally","Yes","4-7 days","Focusing on in-person relationships","Relaxed and refreshed","No","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Talk to friends or family about technology-related stress","4","Occasionally","Yes","I prefer to cope alone"
"2023/11/01 8:50:36 PM GMT+6","I Agree","23","Female","Student","3-4 hours","Computer/Laptop","Often","Never","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Stress","5","Not at all","Frequently","Fair","No changes","Rarely","Low","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","1-3 days","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Social pressure to stay connected","Engage in outdoor activities","5","Rarely","Yes","I seek support from friends or family"
"2023/11/01 8:55:09 PM GMT+6","I Agree","23","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","5","Not at all","Occasionally","Good","Weight gain","Rarely","Moderate","Still enjoy activities","Occasionally","No","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","5","Rarely","Yes","I prefer to cope alone"
"2023/11/01 9:09:07 PM GMT+6","I Agree","24 ","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Stress","2","Frequently","Almost all the time","Fair","Weight gain","Occasionally","Low","Have lost interest","Occasionally","Yes","No","Rarely","Yes","1-3 days","Improving productivity","Anxious or stressed","Yes","Yes","No change","Boredom","Take short breaks from screens","4","Rarely","Yes","I prefer to cope alone"
"2023/11/01 9:12:21 PM GMT+6","I Agree","23","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Relaxation","1","Almost all the time","Frequently","Fair","Weight gain","Frequently","Moderate","Still enjoy activities","Rarely","Yes","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Set specific time limits for technology use","2","Never","No","I prefer to cope alone"
"2023/11/01 10:20:38 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Smartphone","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Stress","3","Frequently","Occasionally","Very Poor","Weight gain","Rarely","Moderate","Have lost interest","Frequently","Yes","No","Almost daily","Yes","Less than a day","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Engage in outdoor activities","4","Occasionally","Yes","I seek support from friends or family"
"2023/11/01 10:21:41 PM GMT+6","I Agree","24","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","2","Frequently","Occasionally","Very Poor","Loss of appetite","Occasionally","Low","Have lost interest","Frequently","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Occasionally","Yes","I prefer to cope alone"
"2023/11/01 10:25:09 PM GMT+6","I Agree","16","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Several times a week","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Frequently","Almost all the time","Very Poor","No changes","Occasionally","Low","Still enjoy activities","Almost all the time","Yes","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Occasionally","Yes","I prefer to cope alone"
"2023/11/01 10:33:36 PM GMT+6","I Agree","23","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","News and information","Joy","3","Occasionally","Rarely","Fair","Increased appetite","Rarely","Moderate","Still enjoy activities","Occasionally","Yes","Yes","Rarely","Yes","More than a week","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Boredom","Take short breaks from screens","3","Occasionally","Yes","I prefer to cope alone"
"2023/11/01 10:43:22 PM GMT+6","I Agree","24","Female","Student","3-4 hours","Smartphone","Often","Occasionally","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Stress","3","Frequently","Frequently","Fair","Increased appetite","Occasionally","Low","Have lost interest","Almost all the time","Yes","No","Occasionally","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology less","Boredom","Take short breaks from screens","4","Occasionally","Yes","I prefer to cope alone"
"2023/11/02 1:56:32 AM GMT+6","I Agree","24","Female","Student","More than 6 hours","Smartphone","Often","Always","Yes","Several times a week","1-2 hours","Yes","Entertainment (videos, movies, music)","Excitement","1","Almost all the time","Almost all the time","Very Poor","Increased appetite","Occasionally","Very low","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","Less than a day","I have never practiced digital detox","No significant change","No","No","No change","Boredom","Seek professional help or counseling","3","Rarely","No","I prefer to cope alone"
